"","Date","Hour.CST.","Fargo","Fargo.1","Fargo.2","Fargo.3","Fargo.4","Fargo.5","Fargo.6","Fargo.7","Fargo.8","Fargo.9","Fargo.10","Fargo.11","Fargo.12","Fargo.13","Fargo.14","Fargo.15","Fargo.16","Fargo.17","Fargo.18"
"1","Date","Hour(CST)","AvgAirTemp(°F)","AvgRelHum(%)","AvgBareSoilTemp(°F)","AvgTurfSoilTemp(°F)","AvgWindSpd(mph)","MaxWindSpd(mph)","AvgWindDir(deg)","WindDirStD(deg)","TotalSolarRad(Lys)","TotalRainfall(inch)","StnBaroPres(mb)","AvgDewPoint(°F)","AvgWindChill(°F)","9 mAvgAirTemp(°F)","9 mAvgRelHum(%)","10 mAvgWindSpd(mph)","10 mMaxWindSpd(mph)","10 mAvgWindDir(deg)","10 mWindDirStD(deg)"
"2","2018-01-01","100","-14","73","16","17","6.2","9.3","262","9","0","M","1008","-20","-30","-13","74","7.6","10.6","257","8"
"3","2018-01-01","200","-14","73","16","17","6.3","8.7","274","6","0","M","1008","-21","-31","-14","74","7.9","10.5","268","5"
"4","2018-01-01","300","-15","73","16","17","5.2","8.0","270","5","0","M","1009","-21","-30","-15","74","6.8","8.9","265","4"
"5","2018-01-01","400","-16","74","16","17","3.0","6.7","268","7","0","M","1009","-22","-26","-15","74","4.7","8.4","264","6"
"6","2018-01-01","500","-16","75","16","17","0.8","3.7","243","7","0","M","1009","-22","-16","-16","76","2.4","5.4","244","8"
"7","2018-01-01","600","-16","74","16","17","2.4","6.0","252","11","0","M","1009","-22","-16","-16","75","4.0","7.5","254","11"
"8","2018-01-01","700","-17","74","15","16","0.7","2.5","240","12","0","M","1008","-23","-17","-16","75","2.6","4.3","251","10"
"9","2018-01-01","800","-17","74","15","16","1.6","2.7","239","8","0","M","1008","-23","-17","-16","75","2.9","4.2","241","6"
"10","2018-01-01","900","-16","74","15","16","1.7","3.1","225","8","3","M","1008","-23","-16","-16","75","2.6","4.4","230","7"
"11","2018-01-01","1000","-15","71","15","16","3.4","5.3","237","12","14","M","1009","-22","-26","-15","72","3.9","6.2","234","11"
"12","2018-01-01","1100","-13","68","15","16","4.2","6.9","251","12","23","M","1009","-20","-25","-13","70","4.6","7.5","247","10"
"13","2018-01-01","1200","-10","66","15","16","3.5","5.4","242","15","29","M","1008","-19","-21","-11","67","3.7","5.7","237","13"
"14","2018-01-01","1300","-9","65","15","16","4.0","6.0","223","17","32","M","1008","-18","-20","-9","66","4.4","6.5","218","17"
"15","2018-01-01","1400","-7","65","16","17","4.7","7.5","216","14","30","M","1008","-16","-20","-8","65","5.1","7.8","213","13"
"16","2018-01-01","1500","-7","66","16","17","6.9","11.3","214","10","24","M","1007","-15","-22","-7","66","7.6","11.3","210","9"
"17","2018-01-01","1600","-6","65","16","17","6.9","10.9","222","11","14","M","1006","-15","-22","-6","65","7.6","11.6","218","11"
"18","2018-01-01","1700","-6","65","17","17","6.0","10.9","210","14","4","M","1006","-15","-20","-6","66","6.7","10.7","207","13"
"19","2018-01-01","1800","-7","68","17","17","4.4","6.5","181","11","0","M","1006","-15","-18","-6","68","5.0","7.8","179","10"
"20","2018-01-01","1900","-7","70","17","17","4.9","7.3","184","10","0","M","1005","-15","-20","-7","70","5.7","7.9","182","9"
"21","2018-01-01","2000","-7","71","16","17","5.0","7.3","191","6","0","M","1005","-14","-21","-7","72","5.9","8.7","189","6"
"22","2018-01-01","2100","-8","71","16","17","6.5","13.1","206","11","0","M","1004","-15","-23","-7","71","7.5","15.0","204","10"
"23","2018-01-01","2200","-10","70","16","17","7.8","13.1","203","9","0","M","1004","-17","-27","-10","71","8.8","14.0","201","8"
"24","2018-01-01","2300","-10","70","16","17","8.0","12.2","203","9","0","M","1003","-18","-28","-11","71","8.9","14.0","200","8"
"25","2018-01-01","2400","-11","70","16","17","8.3","13.0","197","8","0","M","1002","-18","-29","-11","71","9.2","15.0","195","8"
"26","Date","Hour(CST)","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo"
"27","Date","Hour(CST)","AvgAirTemp(°F)","AvgRelHum(%)","AvgBareSoilTemp(°F)","AvgTurfSoilTemp(°F)","AvgWindSpd(mph)","MaxWindSpd(mph)","AvgWindDir(deg)","WindDirStD(deg)","TotalSolarRad(Lys)","TotalRainfall(inch)","StnBaroPres(mb)","AvgDewPoint(°F)","AvgWindChill(°F)","9 mAvgAirTemp(°F)","9 mAvgRelHum(%)","10 mAvgWindSpd(mph)","10 mMaxWindSpd(mph)","10 mAvgWindDir(deg)","10 mWindDirStD(deg)"
"28","2018-01-02","100","-12","70","16","17","9.7","15.3","203","9","0","M","1001","-19","-32","-12","71","10.8","16.6","201","8"
"29","2018-01-02","200","-12","68","16","17","8.9","14.0","205","9","0","M","1000","-20","-31","-12","68","10.0","15.5","203","8"
"30","2018-01-02","300","-10","67","16","16","9.1","15.3","205","9","0","M","999","-19","-30","-11","67","9.8","16.2","204","10"
"31","2018-01-02","400","-8","69","16","16","11.0","16.1","198","12","0","M","997","-15","-28","-8","69","11.8","18.1","195","12"
"32","2018-01-02","500","-7","76","16","16","12.4","18.7","186","10","0","M","994","-13","-28","-7","77","13.6","22.6","183","9"
"33","2018-01-02","600","-10","71","16","16","9.9","16.8","179","9","0","M","993","-17","-29","-10","72","11.0","20.4","176","10"
"34","2018-01-02","700","-9","74","16","16","9.8","14.9","189","9","0","M","991","-15","-28","-9","75","10.8","14.5","186","9"
"35","2018-01-02","800","-6","74","16","16","11.3","17.1","202","11","0","M","989","-12","-26","-6","76","12.5","19.8","199","9"
"36","2018-01-02","900","-5","73","16","16","12.7","20.2","202","10","3","M","987","-11","-25","-5","74","14.0","22.7","198","9"
"37","2018-01-02","1000","-3","72","16","16","14.5","22.4","212","11","7","M","986","-10","-24","-3","73","15.9","23.6","209","10"
"38","2018-01-02","1100","-1","72","16","16","13.9","21.3","223","11","6","M","986","-8","-21","-1","73","15.2","24.3","219","11"
"39","2018-01-02","1200","1","77","16","17","11.6","17.0","219","10","7","M","984","-5","-18","0","78","12.6","18.7","216","10"
"40","2018-01-02","1300","3","75","16","17","11.3","19.0","216","11","24","M","983","-3","-14","3","76","12.4","18.7","211","10"
"41","2018-01-02","1400","8","70","16","17","8.7","13.0","212","10","27","M","982","0","-7","7","70","9.6","14.6","209","10"
"42","2018-01-02","1500","12","72","17","17","8.8","18.5","263","31","14","M","982","5","-1","12","72","10.0","20.1","259","30"
"43","2018-01-02","1600","16","74","17","18","15.4","24.3","323","13","9","M","983","9","-1","15","74","17.5","28.4","315","13"
"44","2018-01-02","1700","14","79","17","18","15.6","25.4","335","12","2","M","984","8","-4","13","80","17.4","27.9","327","10"
"45","2018-01-02","1800","11","79","18","18","13.4","23.1","344","12","0","M","985","6","-5","11","80","15.4","25.2","337","10"
"46","2018-01-02","1900","9","78","18","18","9.4","17.5","338","10","0","M","987","4","-5","9","79","10.9","18.7","331","10"
"47","2018-01-02","2000","7","77","18","18","16.4","24.7","355","15","0","M","988","1","-12","7","78","19.1","29.0","347","13"
"48","2018-01-02","2100","3","78","18","18","16.3","25.3","349","11","0","M","989","-2","-17","3","79","19.4","29.8","342","8"
"49","2018-01-02","2200","2","76","18","18","14.9","21.2","347","13","0","M","991","-4","-19","2","77","17.6","24.2","339","8"
"50","2018-01-02","2300","1","78","18","18","15.9","25.3","347","10","0","M","991","-4","-20","1","79","18.8","28.6","339","7"
"51","2018-01-02","2400","0","79","18","18","10.5","16.0","348","10","0","M","992","-6","-18","-1","80","12.5","18.4","342","10"
"52","Date","Hour(CST)","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo"
"53","Date","Hour(CST)","AvgAirTemp(°F)","AvgRelHum(%)","AvgBareSoilTemp(°F)","AvgTurfSoilTemp(°F)","AvgWindSpd(mph)","MaxWindSpd(mph)","AvgWindDir(deg)","WindDirStD(deg)","TotalSolarRad(Lys)","TotalRainfall(inch)","StnBaroPres(mb)","AvgDewPoint(°F)","AvgWindChill(°F)","9 mAvgAirTemp(°F)","9 mAvgRelHum(%)","10 mAvgWindSpd(mph)","10 mMaxWindSpd(mph)","10 mAvgWindDir(deg)","10 mWindDirStD(deg)"
"54","2018-01-03","100","-2","76","18","18","11.7","18.4","350","11","0","M","992","-7","-21","-2","78","14.0","20.4","342","10"
"55","2018-01-03","200","-3","77","18","17","9.7","14.8","346","10","0","M","993","-9","-21","-3","78","11.1","16.8","339","9"
"56","2018-01-03","300","-4","76","18","17","9.6","13.6","337","10","0","M","994","-10","-22","-4","77","10.9","16.0","329","9"
"57","2018-01-03","400","-5","76","18","17","9.5","13.8","335","8","0","M","994","-11","-23","-5","77","10.7","15.0","328","8"
"58","2018-01-03","500","-6","76","18","17","8.0","12.3","326","10","0","M","995","-12","-23","-6","77","8.5","14.0","321","10"
"59","2018-01-03","600","-7","76","17","17","8.1","10.5","319","7","0","M","995","-13","-24","-7","77","9.6","13.4","311","6"
