,Date,Hour.CST.,Fargo,Fargo.1,Fargo.2,Fargo.3,Fargo.4,Fargo.5,Fargo.6,Fargo.7,Fargo.8,Fargo.9,Fargo.10,Fargo.11,Fargo.12,Fargo.13,Fargo.14,Fargo.15,Fargo.16,Fargo.17,Fargo.18
1,Date,Hour(CST),AvgAirTemp(°F),AvgRelHum(%),AvgBareSoilTemp(°F),AvgTurfSoilTemp(°F),AvgWindSpd(mph),MaxWindSpd(mph),AvgWindDir(deg),WindDirStD(deg),TotalSolarRad(Lys),TotalRainfall(inch),StnBaroPres(mb),AvgDewPoint(°F),AvgWindChill(°F),9 mAvgAirTemp(°F),9 mAvgRelHum(%),10 mAvgWindSpd(mph),10 mMaxWindSpd(mph),10 mAvgWindDir(deg),10 mWindDirStD(deg)
2,1/1/2022,100,-23,72,32,31,5.8,9.3,274,7,0,M,991,-29,-41,-21,76,7.5,11.3,268,6
3,1/1/2022,200,-23,72,32,31,4.1,8.3,267,11,0,M,992,-29,-37,-21,75,5,10.1,261,10
4,1/1/2022,300,-24,73,32,31,2.6,5.8,254,16,0,M,992,-30,-24,-21,76,2.5,7.6,251,5
5,1/1/2022,400,-25,73,32,31,0.8,3.4,260,8,0,M,991,-31,-25,-22,75,0.4,5.3,252,1
6,1/1/2022,500,-25,73,32,31,1.9,4.7,248,17,0,M,991,-31,-25,-22,75,2.4,6.3,243,9
7,1/1/2022,600,-27,73,32,31,2.7,5.1,256,17,0,M,991,-33,-27,-23,75,3.6,7,254,12
8,1/1/2022,700,-26,73,32,31,3,5.8,239,23,0,M,991,-32,-26,-23,75,4,7.7,237,17
9,1/1/2022,800,-27,73,32,31,1.5,3.6,284,23,0,M,992,-33,-27,-24,75,0.7,5.3,275,3
10,1/1/2022,900,-26,73,32,31,1.5,3.6,251,36,3,M,992,-33,-26,-24,75,1.9,6.3,260,21
11,1/1/2022,1000,-24,72,32,31,1.9,4.2,274,13,14,M,992,-30,-24,-23,75,0.5,4.6,271,4
12,1/1/2022,1100,-21,71,32,31,3.5,5.5,254,11,23,M,993,-27,-33,-21,75,1.6,6.6,253,9
13,1/1/2022,1200,-18,71,32,31,5.3,8.3,256,9,29,M,993,-25,-34,-19,75,4.7,9.2,250,8
14,1/1/2022,1300,-17,71,32,31,6.5,9.5,258,8,31,M,992,-24,-35,-18,75,7.1,10.7,252,7
15,1/1/2022,1400,-16,71,32,31,6,10.9,259,10,29,M,992,-23,-33,-17,75,5.9,12.8,254,9
16,1/1/2022,1500,-15,71,32,31,5.3,8,261,10,23,M,992,-22,-31,-16,75,5,8.5,256,9
17,1/1/2022,1600,-15,71,32,31,5,9.7,248,14,15,M,992,-22,-30,-15,75,4.9,10.3,242,13
18,1/1/2022,1700,-17,72,32,31,3.9,8.6,260,9,4,M,992,-23,-29,-15,75,2.9,9.7,257,4
19,1/1/2022,1800,-17,74,32,31,2.2,3.6,209,25,0,M,992,-23,-17,-15,77,0.1,1.6,218,4
20,1/1/2022,1900,-18,75,32,31,1.9,4.1,225,11,0,M,991,-24,-18,-15,77,0.2,2.6,229,2
21,1/1/2022,2000,-18,77,32,31,2,4.4,189,17,0,M,991,-23,-18,-15,78,0.2,2.6,189,1
22,1/1/2022,2100,-17,77,32,31,2.4,4.2,193,12,0,M,991,-22,-17,-16,78,0.2,3,201,2
23,1/1/2022,2200,-18,76,32,31,3.3,5,217,12,0,M,991,-24,-30,-16,77,0.6,3.5,218,4
24,1/1/2022,2300,-19,76,32,31,3.9,5.6,222,8,0,M,991,-25,-32,-16,77,1.5,6.5,222,4
25,1/1/2022,2400,-18,76,32,31,4,6.3,213,14,0,M,991,-24,-32,-16,77,1.6,7.7,220,9
26,Date,Hour(CST),Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo
27,Date,Hour(CST),AvgAirTemp(°F),AvgRelHum(%),AvgBareSoilTemp(°F),AvgTurfSoilTemp(°F),AvgWindSpd(mph),MaxWindSpd(mph),AvgWindDir(deg),WindDirStD(deg),TotalSolarRad(Lys),TotalRainfall(inch),StnBaroPres(mb),AvgDewPoint(°F),AvgWindChill(°F),9 mAvgAirTemp(°F),9 mAvgRelHum(%),10 mAvgWindSpd(mph),10 mMaxWindSpd(mph),10 mAvgWindDir(deg),10 mWindDirStD(deg)
28,1/2/2022,100,-19,75,32,31,4.1,6.5,176,15,0,M,991,-24,-32,-17,77,2.3,7.5,170,13
29,1/2/2022,200,-21,76,32,31,5,7.6,173,6,0,M,991,-26,-37,-20,77,6,8.8,169,6
30,1/2/2022,300,-21,75,32,31,5.2,8.7,165,7,0,M,990,-27,-37,-20,77,6.2,9.7,161,8
31,1/2/2022,400,-21,75,32,31,5.9,9,158,7,0,M,990,-26,-38,-20,77,6.8,10,152,7
32,1/2/2022,500,-21,75,32,31,7,10.2,161,7,0,M,990,-26,-40,-20,77,8.1,11.2,156,7
33,1/2/2022,600,-20,75,32,31,6.4,9.2,169,7,0,M,990,-26,-38,-19,77,7.4,10.6,166,7
34,1/2/2022,700,-19,76,32,31,6.9,10.1,165,10,0,M,989,-25,-37,-18,77,7.8,12.1,161,10
35,1/2/2022,800,-18,76,32,31,7.3,11.4,157,8,0,M,989,-24,-37,-17,78,8.4,12.4,152,8
36,1/2/2022,900,-17,76,32,31,7.9,12.8,163,8,3,M,989,-23,-37,-17,78,9,13.9,158,8
37,1/2/2022,1000,-15,76,32,31,9,14.7,161,9,14,M,988,-20,-35,-14,78,10.2,15.8,156,9
38,1/2/2022,1100,-12,75,32,31,8.8,16.2,158,9,23,M,988,-18,-31,-12,77,9.8,17.3,154,9
39,1/2/2022,1200,-9,74,32,31,10.2,17.2,166,9,29,M,987,-15,-29,-8,76,11.1,17.2,161,9
40,1/2/2022,1300,-6,75,32,31,11.4,18.7,165,10,31,M,986,-12,-26,-6,75,12.3,19,161,9
41,1/2/2022,1400,-4,76,32,31,10.9,17,166,9,25,M,986,-10,-24,-4,75,11.9,17.8,162,9
42,1/2/2022,1500,-3,77,32,31,11,18.2,163,10,21,M,985,-8,-22,-2,75,11.9,19.6,158,9
43,1/2/2022,1600,-1,78,32,31,12.5,19.3,164,9,15,M,985,-7,-21,-1,75,13.7,20.5,159,9
44,1/2/2022,1700,-1,79,32,31,12.9,20.2,164,9,2,M,985,-6,-21,0,76,14.2,21.6,159,9
45,1/2/2022,1800,-1,80,32,31,12.1,19.4,163,9,0,M,985,-6,-20,0,78,13.2,20.2,158,9
46,1/2/2022,1900,0,80,32,31,12.4,19.8,162,9,0,M,984,-5,-20,0,78,13.5,22,158,9
47,1/2/2022,2000,0,80,32,31,12,19.5,162,9,0,M,984,-5,-19,1,78,12.9,21.6,157,9
48,1/2/2022,2100,1,81,32,31,10.9,17,162,10,0,M,983,-4,-17,2,79,12,18.9,157,9
49,1/2/2022,2200,1,81,32,31,11,16.2,162,9,0,M,983,-3,-16,2,79,12.2,18,157,9
50,1/2/2022,2300,2,81,32,31,11.1,17.9,163,10,0,M,982,-3,-16,3,79,12.3,18.8,158,10
51,1/2/2022,2400,2,81,32,31,11.3,16.7,164,9,0,M,982,-2,-15,3,79,12.5,20,159,9
52,Date,Hour(CST),Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo
53,Date,Hour(CST),AvgAirTemp(°F),AvgRelHum(%),AvgBareSoilTemp(°F),AvgTurfSoilTemp(°F),AvgWindSpd(mph),MaxWindSpd(mph),AvgWindDir(deg),WindDirStD(deg),TotalSolarRad(Lys),TotalRainfall(inch),StnBaroPres(mb),AvgDewPoint(°F),AvgWindChill(°F),9 mAvgAirTemp(°F),9 mAvgRelHum(%),10 mAvgWindSpd(mph),10 mMaxWindSpd(mph),10 mAvgWindDir(deg),10 mWindDirStD(deg)
54,1/3/2022,100,3,81,32,31,9,15.9,166,13,0,M,982,-2,-13,4,79,9.9,17.8,161,12
55,1/3/2022,200,5,81,32,31,8.3,16.4,177,15,0,M,982,0,-10,6,79,8.7,16.5,174,14
56,1/3/2022,300,4,82,32,31,7.4,11.9,175,13,0,M,983,0,-10,5,81,7.9,14.3,173,12
57,1/3/2022,400,4,83,32,31,4.5,8.6,167,11,0,M,983,0,-6,6,82,4.6,8.6,167,10
58,1/3/2022,500,4,84,32,31,4,7.5,178,11,0,M,984,0,-5,6,83,4.5,7.8,179,9
59,1/3/2022,600,7,84,32,31,3.6,7.5,197,15,0,M,984,3,-1,8,82,4,8.7,202,15
60,1/3/2022,700,9,84,32,31,3.1,5.7,211,25,0,M,985,6,2,11,82,3.5,6.5,219,19
61,1/3/2022,800,13,83,32,31,4.5,9.7,306,27,0,M,985,9,5,15,80,5.7,13.4,299,25
62,1/3/2022,900,15,81,32,31,8.9,17.7,2,23,1,M,985,10,2,15,79,10.3,18.8,355,21
63,1/3/2022,1000,11,77,32,31,8.2,17.2,27,10,4,M,987,5,-2,11,74,9,18.4,19,10
64,1/3/2022,1100,10,75,32,31,6.5,12.4,23,12,10,M,987,3,-2,10,74,7.3,14.4,15,10
65,1/3/2022,1200,9,73,32,31,7.7,12.9,21,12,20,M,987,2,-4,9,73,8.6,13.6,14,11
66,1/3/2022,1300,8,75,32,31,6.7,10.9,17,15,25,M,987,2,-4,8,74,7.6,11.4,11,14
67,1/3/2022,1400,7,78,32,31,6.9,11.2,15,13,22,M,987,2,-6,7,78,7.9,12.1,9,12
68,1/3/2022,1500,7,80,32,31,7.1,11.6,19,13,14,M,987,2,-7,7,81,8,11.8,13,12
69,1/3/2022,1600,5,81,32,31,9.4,14.9,21,13,9,M,987,1,-10,5,82,10.7,16,14,13
70,1/3/2022,1700,5,82,32,31,9.2,17,19,11,2,M,987,0,-11,5,82,10.5,17.2,13,11
71,1/3/2022,1800,4,82,32,31,8,14.9,20,12,0,M,986,-1,-11,4,83,9.1,16.3,13,10
72,1/3/2022,1900,3,84,32,31,6.5,10.7,21,12,0,M,986,0,-10,4,85,7.1,12.1,13,11
73,1/3/2022,2000,3,85,32,31,5.6,9.6,15,13,0,M,985,0,-9,3,86,6.4,10.8,10,12
74,1/3/2022,2100,3,85,32,31,3.3,6.8,15,14,0,M,984,-1,-5,3,86,3.4,7.5,10,13
75,1/3/2022,2200,2,85,32,31,3.9,7.6,6,16,0,M,983,-2,-8,2,86,4.3,9.1,1,16
76,1/3/2022,2300,2,86,32,31,5.2,9.5,25,16,0,M,982,-1,-9,3,87,5.8,9.7,19,16
77,1/3/2022,2400,3,84,32,31,5.4,9.1,48,13,0,M,981,-1,-9,3,86,6,10.5,43,12
78,Date,Hour(CST),Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo,Fargo
